GrowthForm,PhenophaseName,Rank,IntensityClass,PhenophaseIntensityDefn,IntensityQuestion,displayName,phenophaseDefinition
Cactus,Open flowers,1,"% canopy, flower, color",Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.",Open flowers (P4),"One or more open, fresh flowers are visible on the plant. Flowers are considered 'open' when the reproductive parts (male stamens or female pistils) are visible between or within unfolded or open flower parts (petals, floral tubes or sepals). Does not include wilted or dried flowers."
Deciduous broadleaf,Breaking leaf buds,1,#,Number of breaking buds,How many buds are breaking?,Breaking leaf buds (P1),"One or more breaking leaf buds are visible on the plant. A leaf bud is considered 'breaking' once a green leaf tip is visible at the end of the bud, but before the first leaf from the bud has unfolded to expose the leaf stalk (petiole) or leaf base."
Deciduous broadleaf,Increasing leaf size,2,% leaf size,Percentage of full size of most leaves,What percentage of full size are most leaves?,Increasing leaf size (P2b),"One or more young, unfolded leaves are visible on the plant. A leaf is considered 'young' and 'unfolded' once its entire length has emerged from the breaking bud so that the leaf stalk (petiole) or leaf base is visible at its point of attachment to the stem, but before the leaf has reached full size or turned the darker green color or tougher texture of mature leaves on the plant. Does not include fully dried or dead leaves."
Deciduous broadleaf,Leaves,3,"% canopy, flower, color",Percentage of the canopy that is full with leaves,What percentage of the canopy is full with leaves? Ignore dead branches in your estimate.,Leaves (P3),"One or more live, unfolded leaves are visible on the plant. A leaf is considered 'unfolded' once its entire length has emerged from the breaking bud so that the leaf stalk (petiole) or leaf base is visible at its point of attachment to the stem. Does not include fully dried or dead leaves."
Deciduous broadleaf,Open flowers,4,"% canopy, flower, color",Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.",Open flowers (P4),"One or more open, fresh flowers are visible on the plant. Flowers are considered 'open' when the reproductive parts (male stamens or female pistils) are visible between or within unfolded or open flower parts (petals, floral tubes or sepals). Does not include wilted or dried flowers."
Deciduous broadleaf,Colored leaves,5,"% canopy, flower, color",Percentage of the canopy that is full with colored leaves,What percentage of the canopy is full with colored leaves?,Colored leaves (P5),One or more leaves (including any that have recently fallen from the plant) have turned to their late-season colors. Does not include fully dried or dead leaves that remain on the plant.
Deciduous broadleaf,Falling leaves,6,,,,Falling leaves (P6),One or more leaves are falling or have recently fallen from the plant.
Deciduous conifer,Breaking needle buds,1,#,Number of breaking buds,How many buds are breaking?,Breaking needle buds (P1),"One or more breaking needle buds are visible on the plant. A needle bud is considered 'breaking' once a green needle tip is visible at the end of the bud, but before the first needle from the bud has unfolded and spread away at an angle from the developing stem, or from other needles in a bundle."
Deciduous conifer,Needles,2,"% canopy, flower, color",Percentage of the canopy that is full with needles,What percentage of the canopy is full with needles? Ignore dead branches in your estimate.,Needles (P3),"One or more live, unfolded needles are visible on the plant. A needle is considered 'unfolded' once it begins to spread away at an angle from the developing stem enough that its point of attachment to the stem is visible, or from other needles in a bundle so that it is no longer pressed flat against them. Does not include fully dried or dead needles."
Deciduous conifer,Open pollen cones,3,"% canopy, flower, color",Percentage of all fresh pollen cones (unopened plus open) on the plant that are open,What percentage of all fresh pollen cones (unopened plus open) on that plant are open?,Open pollen cones (P4),"One or more open, fresh, male pollen cones (strobili) are visible on the plant. Cones are considered 'open' when the scales have spread apart to release pollen. Does not include wilted or dried cones that have already released all of their pollen"
Deciduous conifer,Colored needles,4,"% canopy, flower, color",Percentage of the canopy that is full with colored needles,What percentage of the canopy is full with colored needles?,Colored needles (P5),One or more needles (including any that have recently fallen from the plant) have turned to their late-season colors. Does not include fully dried or dead needles that remain on the plant.
Deciduous conifer,Falling needles,5,,,,Falling needles (P6),One or more needles are falling or have recently fallen from the plant.
Drought deciduous broadleaf,Young leaves,1,#,Number of young leaves present,How many young leaves present?,Young leaves (P2),"One or more young, unfolded leaves are visible on the plant. A leaf is considered 'young' and 'unfolded' once its entire length has emerged from the breaking bud so that the leaf stalk (petiole) or leaf base is visible at its point of attachment to the stem, but before the leaf has reached full size or turned the darker green color or tougher texture of mature leaves on the plant. Does not include fully dried or dead leaves."
Drought deciduous broadleaf,Leaves,2,"% canopy, flower, color",Percentage of the canopy that is full with leaves,What percentage of the canopy is full with leaves? Ignore dead branches in your estimate.,Leaves (P3),"One or more live, unfolded leaves are visible on the plant. A leaf is considered 'unfolded' once its entire length has emerged from the breaking bud so that the leaf stalk (petiole) or leaf base is visible at its point of attachment to the stem. Does not include fully dried or dead leaves."
Drought deciduous broadleaf,Open flowers,3,"% canopy, flower, color",Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.",Open flowers (P4),"One or more open, fresh flowers are visible on the plant. Flowers are considered 'open' when the reproductive parts (male stamens or female pistils) are visible between or within unfolded or open flower parts (petals, floral tubes or sepals). Does not include wilted or dried flowers."
Drought deciduous broadleaf,Colored leaves,4,"% canopy, flower, color",Percentage of the canopy that is full with colored leaves,What percentage of the canopy is full with colored leaves?,Colored leaves (P5),One or more leaves (including any that have recently fallen from the plant) have turned to their late-season colors. Does not include fully dried or dead leaves that remain on the plant.
Drought deciduous broadleaf,Falling leaves,5,,,,Falling leaves (P6),One or more leaves are falling or have recently fallen from the plant.
Evergreen broadleaf,Breaking leaf buds,1,#,Number of breaking buds,How many buds are breaking?,Breaking leaf buds (P1),"One or more breaking leaf buds are visible on the plant. A leaf bud is considered 'breaking' once a green leaf tip is visible at the end of the bud, but before the first leaf from the bud has unfolded to expose the leaf stalk (petiole) or leaf base."
Evergreen broadleaf,Young leaves,2,#,Number of young leaves present,How many young leaves present?,Young leaves (P2),"One or more young, unfolded leaves are visible on the plant. A leaf is considered 'young' and 'unfolded' once its entire length has emerged from the breaking bud so that the leaf stalk (petiole) or leaf base is visible at its point of attachment to the stem, but before the leaf has reached full size or turned the darker green color or tougher texture of mature leaves on the plant. Does not include fully dried or dead leaves."
Evergreen broadleaf,Open flowers,3,"% canopy, flower, color",Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.",Open flowers (P4),"One or more open, fresh flowers are visible on the plant. Flowers are considered 'open' when the reproductive parts (male stamens or female pistils) are visible between or within unfolded or open flower parts (petals, floral tubes or sepals). Does not include wilted or dried flowers."
Evergreen conifer,Breaking needle buds,1,#,Number of breaking buds,How many buds are breaking?,Breaking needle buds (P1),"One or more breaking needle buds are visible on the plant. A needle bud is considered 'breaking' once a green needle tip is visible at the end of the bud, but before the first needle from the bud has unfolded and spread away at an angle from the developing stem."
Evergreen conifer,Young needles,2,#,Number of young needles present,How many young needles are present?,Young needles (P2),"One or more young, unfolded needles are visible on the plant. A needle is considered 'young' and 'unfolded' once it has spread away from the developing stem enough that its point of attachment to the stem is visible, but before it has reached full size or turned the darker green color or tougher texture of mature needles on the plant."
Evergreen forb,Young leaves,2,,,,Young leaves (P2),One or more young leaves are visible on the plant. A leaf is considered 'young' before it has reached full size or turned the darker green color or tougher texture of mature leaves on the plant. Do not include fully dried or dead leaves.
Evergreen forb,Open flowers,3,"% canopy, flower, color",Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.",Open flowers (P4),"One or more open, fresh flowers are visible on the plant. Flowers are considered 'open' when the reproductive parts (male stamens or female pistils) are visible between or within unfolded or open flower parts (petals, floral tubes or sepals). Does not include wilted or dried flowers."
Forb,Initial growth,1,,,,Initial growth (P1),"New growth of the plant is visible after a period of no growth (winter or drought), either from above-ground buds with green tips, or new green or white shoots breaking through the soil surface. Growth is considered 'initial' on each bud or shoot until the first leaf has fully unfolded. For seedlings, 'initial' growth includes the presence of the one or two small, round or elongated leaves (cotyledons) before the first true leaf has unfolded."
Forb,Leaves,2,,,,Leaves (P3),"One or more live, fully unfolded leaves are visible on the plant. For seedlings, consider only true leaves and do not count the one or two small, round or elongated leaves (cotyledons) that are found on the stem almost immediately after the seedling germinates. Does not include fully dried or dead leaves."
Forb,Open flowers,3,"% canopy, flower, color",Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.",Open flowers (P4),"One or more open, fresh flowers are visible on the plant. Flowers are considered 'open' when the reproductive parts (male stamens or female pistils) are visible between or within unfolded or open flower parts (petals, floral tubes or sepals). Does not include wilted or dried flowers."
Graminoid,Initial growth,1,,,,Initial growth (P1),"New growth of the plant is visible after a period of no growth (winter or drought), either as new green shoots sprouting from nodes on existing stems (grasses and sedges), or new green shoots breaking through the soil surface. For each shoot, growth is considered 'initial' until the first leaf has unfolded (grass and sedges) or until the shoot has reached approximately 2 inches (5 cm) in length (rushes)."
Graminoid,Leaves,2,"% canopy, flower, color",Percentage of the plant that is green.,What percentage of the plant is green?,Leaves (P3),"One or more live, green, unfolded leaves are visible on the plant. A leaf is considered 'unfolded' once it a) unrolls slightly from around the stem and begins to fall away at an angle from the stem (grasses), b) has grown long enough that the two halves of the leaf blade have begun to spread apart like an open book (sedges) or c)  the exposed, green portion of the leaf (or shoot) has reached approximately 2 inches (5 cm) in length (rushes) . Does not include fully dried or dead leaves."
Graminoid,Open flowers,3,"% canopy, flower, color",Percentage of all fresh flowers (unopened plus open) on the plant that are open,What percentage of all fresh flowers (unopened plus open) on the plant are open?,Open flowers (P4),"One or more open, fresh flowers are visible on the plant. A flower is considered 'open' when reproductive parts (male anthers or female stigmata) can be seen protruding from the spikelet. Does not include flowers with wilted or dried reproductive parts."
Pine,Emerging needles,1,#,Number of needles or needle buds emerging,How many needles or needle bundles are emerging?,Emerging needles (P1),"One or more emerging needles or needle bundles (fascicles) are visible on the plant. A needle or needle bundle is considered 'emerging' once the green tip is visible along the newly developing stem (candle), but before the needles have begun to unfold and spread away at an angle from others in the bundle."
Pine,Young needles,2,#,Number of young needles present,How many young needles are present?,Young needles (P2),"One or more young, unfolded needles are visible on the plant. A needle is considered 'young' and 'unfolded' once it begins to spread away at an angle from other needles in the bundle (and is no longer pressed flat against them), but before it has reached full size or turned the darker green color or tougher texture of mature needles on the plant."
Pine,Open pollen cones,3,"% canopy, flower, color",Percentage of all fresh pollen cones (unopened plus open) on the plant that are open,What percentage of all fresh pollen cones (unopened plus open) on that plant are open?,Open pollen cones (P4),"One or more open, fresh, male pollen cones (strobili) are visible on the plant. Cones are considered 'open' when the scales have spread apart to release pollen. Does not include wilted or dried cones that have already released all of their pollen"
Semi-evergreen broadleaf,Breaking leaf buds,1,#,Number of breaking buds,How many buds are breaking?,Breaking leaf buds (P1),"One or more breaking leaf buds are visible on the plant. A leaf bud is considered 'breaking' once a green leaf tip is visible at the end of the bud, but before the first leaf from the bud has unfolded to expose the leaf stalk (petiole) or leaf base."
Semi-evergreen broadleaf,Young leaves,2,#,Number of young leaves present,How many young leaves present?,Young leaves (P2),"One or more young, unfolded leaves are visible on the plant. A leaf is considered 'young' and 'unfolded' once its entire length has emerged from the breaking bud so that the leaf stalk (petiole) or leaf base is visible at its point of attachment to the stem, but before the leaf has reached full size or turned the darker green color or tougher texture of mature leaves on the plant. Does not include fully dried or dead leaves."
Semi-evergreen broadleaf,Increasing leaf size,3,% leaf size,Percentage of full size of most leaves,What percentage of full size are most leaves?,Increasing leaf size (P2b),"One or more young, unfolded leaves are visible on the plant. A leaf is considered 'young' and 'unfolded' once its entire length has emerged from the breaking bud so that the leaf stalk (petiole) or leaf base is visible at its point of attachment to the stem, but before the leaf has reached full size or turned the darker green color or tougher texture of mature leaves on the plant. Does not include fully dried or dead leaves."
Semi-evergreen broadleaf,Leaves,4,"% canopy, flower, color",Percentage of the canopy that is full with leaves,What percentage of the canopy is full with leaves? Ignore dead branches in your estimate.,Leaves (P3),"One or more live, unfolded leaves are visible on the plant. A leaf is considered 'unfolded' once its entire length has emerged from the breaking bud so that the leaf stalk (petiole) or leaf base is visible at its point of attachment to the stem. Does not include fully dried or dead leaves."
Semi-evergreen broadleaf,Open flowers,5,"% canopy, flower, color",Percentage of all fresh flowers (buds plus unopened plus open) on the plant that are open,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.",Open flowers (P4),"One or more open, fresh flowers are visible on the plant. Flowers are considered 'open' when the reproductive parts (male stamens or female pistils) are visible between or within unfolded or open flower parts (petals, floral tubes or sepals). Does not include wilted or dried flowers."
Semi-evergreen broadleaf,Colored leaves,6,"% canopy, flower, color",Percentage of the canopy that is full with colored leaves,What percentage of the canopy is full with colored leaves?,Colored leaves (P5),One or more leaves (including any that have recently fallen from the plant) have turned to their late-season colors. Does not include fully dried or dead leaves that remain on the plant.
