#Date: 2015-02-19,,,,,,,,,,,,,,,,,,
#Domain Code: D01,,,,,,,,,,,,,,,,,,
#Site Code: HARV,,,,,,,,,,,,,,,,,,
#Plot Code: HARV_053.phenology.phe,,,,,,,,,,,,,,,,,,
#Protocol Code: 45,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#Plant Samples: 3,,,,,,,,,,,,,,,,,,
UID,Tag ID,Enterd By,Recorded By,Measured By,Add Date,Remarks,Transect Meter,Direction From Transect,Ninety Degree Distance,Species Code,Accepted Species Code,Scientific Name,ID Qualifier,Identification Date,Identified By,Growth Form,Drop Plant,
3E78E461172442218EF4EC073136D2E1,NEON.PLA.D01.HARV.12345,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,78,Right,5,ACCA5,ACCA5,Acer campestre L.,cf. species,2/18/15,lkj@neoninc.org,Graminoid,active,
2E78E461172442218EF4EC073136D2E1,NEON.PLA.D01.HARV.98765,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,80,Left,10,BOER,BOER,Bouteloua eriopoda,cf. species,2/18/15,lkj@neoninc.org,Graminoid,drop,
4E78E461172442218EF4EC073136D2E1,NEON.PLA.D01.HARV.98123,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,90,Right,7,BOGR,BOGR,Bouteloua gracilis,cf. species,2/18/15,lkj@neoninc.org,Graminoid,active,
,,,,,,,,,,,,,,,,,,
#Phenophase Observations: 70,,,,,,,,,,,,,,,,,,Disease Type
UID,Tag ID,Entered By,Recorded By,Measured By,Observation Date,Remarks,Phenophase Description,Phenophase Status,Phenophase Intensity,Stem Diameter,Measurement Height,Canopy Diameter Max,Canopy Diameter 90,Cover Percent,Height,Adult Leaf Length,Disease Status,
DDB8DA19F5EF472385FEB5F507BC1721,NEON.PLA.D01.HARV.12345,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Initial growth (P1),yes,25-49,,,,,,,,,
558F3758FF39450EB3BA92561B702D5B,NEON.PLA.D01.HARV.12345,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Leaves (P3),yes,25-49,,,,,,,,,
FBB3335C1C16442E94079562DBC2B454,NEON.PLA.D01.HARV.12345,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Open flowers (P4),yes,25-49,,,,,,,,,
ADB8DA19F5EF472385FEB5F507BC1721,NEON.PLA.D01.HARV.98765,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Initial growth (P1),yes,25-49,,,,,,,,,
B58F3758FF39450EB3BA92561B702D5B,NEON.PLA.D01.HARV.98765,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Leaves (P3),yes,25-49,,,,,,,,,
CBB3335C1C16442E94079562DBC2B454,NEON.PLA.D01.HARV.98765,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Open flowers (P4),yes,25-49,,,,,,,,,
4E78E461172442218EF4EC073136D2E1,NEON.PLA.D01.HARV.98123,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Initial growth (P1),yes,25-49,,,,,,,,,
4E78E461172442218EF4EC073136D2E1,NEON.PLA.D01.HARV.98123,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Leaves (P3),yes,25-49,,,,,,,,,
4E78E461172442218EF4EC073136D2E1,NEON.PLA.D01.HARV.98123,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Open flowers (P4),yes,25-49,,,,,,,,,
4E78E461172442218EF4EC073136D2E1,NEON.PLA.D01.HARV.98123,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Initial growth (P1),yes,25-49,,,,,,,,,
4E78E461172442218EF4EC073136D2E1,NEON.PLA.D01.HARV.98123,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Leaves (P3),yes,25-49,,,,,,,,,
4E78E461172442218EF4EC073136D2E1,NEON.PLA.D01.HARV.98123,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Open flowers (P4),yes,25-49,,,,,,,,,
4E78E461172442218EF4EC073136D2E1,NEON.PLA.D01.HARV.98123,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Initial growth (P1),yes,25-49,,,,,,,,,
4E78E461172442218EF4EC073136D2E1,NEON.PLA.D01.HARV.98123,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Leaves (P3),yes,25-49,,,,,,,,,
4E78E461172442218EF4EC073136D2E1,NEON.PLA.D01.HARV.98123,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Open flowers (P4),yes,25-49,,,,,,,,,
4E78E461172442218EF4EC073136D2E1,NEON.PLA.D01.HARV.98123,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Initial growth (P1),yes,25-49,,,,,,,,,
4E78E461172442218EF4EC073136D2E1,NEON.PLA.D01.HARV.98123,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Leaves (P3),yes,25-49,,,,,,,,,
4E78E461172442218EF4EC073136D2E1,NEON.PLA.D01.HARV.98123,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Open flowers (P4),yes,25-49,,,,,,,,,
4E78E461172442218EF4EC073136D2E1,NEON.PLA.D01.HARV.98123,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Initial growth (P1),yes,25-49,,,,,,,,,
4E78E461172442218EF4EC073136D2E1,NEON.PLA.D01.HARV.98123,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Leaves (P3),yes,25-49,,,,,,,,,
4E78E461172442218EF4EC073136D2E1,NEON.PLA.D01.HARV.98123,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Open flowers (P4),yes,25-49,,,,,,,,,
DDB8DA19F5EF472385FEB5F507BC1721,NEON.PLA.D01.HARV.12345,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Initial growth (P1),yes,25-49,,,,,,,,,
558F3758FF39450EB3BA92561B702D5B,NEON.PLA.D01.HARV.12345,selmendorf@neoninc.org,lkj@neoninc.org,lkj@neoninc.org,2/19/15,,Leaves (P3),yes,25-49,,,,,,,,,
